Production Type;2015;2016;2017;2018 with AT;2018 without AT;2019
Biomass;7273;7290;7556;7889;7398;7754
Fossil Brown coal/Lignite;21160;21062;21262;21275;21275;21205
Fossil Gas;36308;36937;37174;35910;31442;31745
Fossil Hard coal;27361;27030;28035;25633;25035;25293
Fossil Oil;4710;4783;4792;4449;4271;4356
Geothermal;35;35,00;41;39;38;42
Hydro Pumped Storage;11670;11670;12295;12319;8918;9422
Hydro Run-of-river and poundage;9556;9596;9613;9490;3885;4008
Hydro Water Reservoir;4494;4494;4415;4436,00;1451;1309
Nuclear;12068;10793;10793,00;9516;9516;9516
Other;1243,00;1309;1444;1444;1421; 
Other renewable;480;544;542;539;496;445
Solar;37859,00;39410;41866;43998;42805;45300
Waste;1850,00;1850;1850;1857;1707;1707
Wind Offshore;993,00;3283,00;4131;5051;5051;6393
Wind Onshore;39876,00;43789;49862;54674;51787;52916
Total Grand capacity;216936,00;223875;235671;238519;216496;221411
Total dispatchable capacity;138208;137393;139812;134796;116853;116802
